,OrgPos,Page,KeyFrom,NodeFrom,Edge,NodeTo,KeyTo
0,0.0,,0,,,PHARYNX PRESENT (for alternative see page 4),1
1,1.0,,1,"PHARYNX ABSENT, or so obscure as easily to escape notice (for alternative see page 8)","PHARYNX ABSENT, or so obscure as easily to escape notice (for alternative see page 8)","Oesophagus plain, i.e. without median or posterior bulb or swelling (for alternative see preceding page)",2
2,2.0,,2,"Oesophagus with median or posterior bulb or swelling, or both (for alternative see next page)","Oesophagus with median or posterior bulb or swelling, or both (for alternative see next page)",Amphid known,3
3,3.0,,3,Amphid not known or obscure,Amphid not known or obscure,Female not known,4
4,4.0,,4,Female known; wings 0,Female known; wings 0,"Ovaries 2, reflexed",5
5,5.0,,5,"Ovary 1, anterior; ceph. set. 0; oesoph. with med. bulb; spinneret 0; bursa pres.; in soil","Ovary 1, anterior; ceph. set. 0; oesoph. with med. bulb; spinneret 0; bursa pres.; in soil",lotonchium Cobb 1920 (=Hemicycliophora de Man 1921),lotonchium Cobb 1920 (=Hemicycliophora de Man 1921)
6,6.0,,5,"Ovaries 2, reflexed","Ovaries 2, reflexed",Spinneret present; oesoph. without median bulb; bursa none; marine,8
7,7.0,,8,"Spinneret none; amphid a pore at lips; cepn. set. 2, minute; in beetle larvae .... ","Spinneret none; amphid a pore at lips; cepn. set. 2, minute; in beetle larvae .... ",(Neoaplectana Steiner 1929},(Neoaplectana Steiner 1929}
8,8.0,,8,Spinneret present; oesoph. without median bulb; bursa none; marine,Spinneret present; oesoph. without median bulb; bursa none; marine,"Cephalic setae numerous, in circlets of 4; cuticle annulated, exc. on head ...........",10
9,9.0,,10,"Cephalic setae 0; cuticle not annulated; spicula long, 18%, flexible ............... . ","Cephalic setae 0; cuticle not annulated; spicula long, 18%, flexible ............... . ",Molgolaimua Ditlev. 1921,Molgolaimua Ditlev. 1921
10,10.0,,10,"Cephalic setae numerous, in circlets of 4; cuticle annulated, exc. on head ........... ","Cephalic setae numerous, in circlets of 4; cuticle annulated, exc. on head ........... ",(Stilbonema Cobb 1920),(Stilbonema Cobb 1920)
11,11.0,,4,Female not known,Female not known,Hemispherical cephalic cap absent,13
12,12.0,,13,"Hemispherical cephalic cap suddenly wider than neck, edge set with dots ......... . ","Hemispherical cephalic cap suddenly wider than neck, edge set with dots ......... . ",Mitrephorus Linst. 1877,Mitrephorus Linst. 1877
13,13.0,,13,Hemispherical cephalic cap absent,Hemispherical cephalic cap absent,"Spinneret present (Nuadella ?); cepb. set. present; wings 0, striae uninterrupted; marine",15
14,14.0,,15,Spinneret absent; cephalic setae 0; wings present; in soil; J ............................ .,Spinneret absent; cephalic setae 0; wings present; in soil; J ............................ ., Litonema Cobb 1920, Litonema Cobb 1920
15,15.0,,15,"Spinneret present (Nuadella ?); cepb. set. present; wings 0, striae uninterrupted; marine","Spinneret present (Nuadella ?); cepb. set. present; wings 0, striae uninterrupted; marine","Cuticle annulated, exc. on head; amphid near lips",19
16,16.0,,19,"Cuticle not annulated, striae none; cephalic setae small","Cuticle not annulated, striae none; cephalic setae small","Neck under4%; card. bulb broad; cepb. set. in 3 circlets of 4; ampb. small, near lips ..",18
17,17.0,,18,"Neck 8%; cardiac swelling slight, clavate .......................................... . ","Neck 8%; cardiac swelling slight, clavate .......................................... . ",Nuadella Allgen 1927,Nuadella Allgen 1927
18,18.0,,18,"Neck under4%; card. bulb broad; cepb. set. in 3 circlets of 4; ampb. small, near lips ..","Neck under4%; card. bulb broad; cepb. set. in 3 circlets of 4; ampb. small, near lips ..", (Catanema Cobb 1920), (Catanema Cobb 1920)
19,19.0,,19,"Cuticle annulated, exc. on head; amphid near lips","Cuticle annulated, exc. on head; amphid near lips",Setae on head in circlets of 4; contour of nema crenate; pores 0; nema 10 mm ........,21
20,20.0,,21,"Setae on head, labial 6, ceph. 10; contour of nema ± serrate; pores lateral. .... .. ","Setae on head, labial 6, ceph. 10; contour of nema ± serrate; pores lateral. .... .. ",(Leptonemella Cobb 1920),(Leptonemella Cobb 1920)
21,21.0,,21,Setae on head in circlets of 4; contour of nema crenate; pores 0; nema 10 mm ........ ,Setae on head in circlets of 4; contour of nema crenate; pores 0; nema 10 mm ........ ,(Laxonema Cobb 1920),(Laxonema Cobb 1920)
22,22.0,,3,Amphid known,Amphid known,"External amphid spiral, circular or elliptical",42
23,23.0,,42,"External amphid not spiral, circular nor elliptical","External amphid not spiral, circular nor elliptical",Head not suddenly wider nor cap-like,25
24,24.0,,25,"Head a hemispherical cap, suddenly wider than neck, edge set with dots ........... . ","Head a hemispherical cap, suddenly wider than neck, edge set with dots ........... . ",Mitrephorw Linst. 1877,Mitrephorw Linst. 1877
